Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls p90,Ast p90,G+A p90,G-PK p90,G+A-PK p90,xG p90,xAG p90,xG+xAG p90,npxG p90,npxG+xAG p90
779,Jeremy Dudziak,tn TUN,MFFW,Greuther Fürth,de Bundesliga,25,1995,22,15,1134,12.6,2,0,2,2,0,0,1,0,2.4,2.4,1.1,3.5,18,33,62,0.16,0,0.16,0.16,0.16,0.19,0.09,0.28,0.19,0.28
780,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,29,1992,18,15,1436,16,1,0,1,1,0,0,7,0,1,1,0.2,1.2,3,41,3,0.06,0,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07
781,Unai Dufur,es ESP,DF,Osasuna,es La Liga,22,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
782,Denzel Dumfries,nl NED,DF,Inter,it Serie A,25,1996,33,21,2028,22.5,5,4,9,5,0,0,3,0,5.2,5.2,4.4,9.6,55,58,204,0.22,0.18,0.4,0.22,0.4,0.23,0.19,0.43,0.23,0.43
783,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,29,1991,3,2,198,2.2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
784,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,28,1993,33,21,1931,21.5,2,2,4,2,0,0,3,0,0.9,0.9,2,2.9,29,129,71,0.09,0.09,0.19,0.09,0.19,0.04,0.09,0.14,0.04,0.14
785,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,29,1991,29,29,2573,28.6,1,0,1,1,0,0,3,1,1.3,1.3,0.4,1.8,14,83,3,0.03,0,0.03,0.03,0.03,0.05,0.01,0.06,0.05,0.06
786,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,29,1992,7,7,474,5.3,0,1,1,0,0,0,1,0,0,0,0.4,0.4,14,22,20,0,0.19,0.19,0,0.19,0,0.08,0.08,0,0.08
787,Hugo Duro,es ESP,DFMF,Getafe,es La Liga,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,1,0,0,0,0,0,0.61,0,0.61,0.61,0.61
788,Hugo Duro,es ESP,FWMF,Valencia,es La Liga,21,1999,30,22,1834,20.4,7,1,8,7,0,0,3,1,3.5,3.5,0.7,4.2,12,21,87,0.34,0.05,0.39,0.34,0.39,0.17,0.03,0.2,0.17,0.2
789,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,24,1997,37,33,3007,33.4,1,3,4,1,0,0,1,0,1,1,2.2,3.2,76,169,107,0.03,0.09,0.12,0.03,0.12,0.03,0.07,0.1,0.03,0.1
790,Paulo Dybala,ar ARG,FWMF,Juventus,it Serie A,27,1993,29,26,2061,22.9,10,5,15,9,1,2,3,0,7.6,6,4.5,10.5,50,103,155,0.44,0.22,0.66,0.39,0.61,0.33,0.2,0.53,0.26,0.46
791,Edin Džeko,ba BIH,FW,Inter,it Serie A,35,1986,36,27,2469,27.4,13,6,19,13,0,0,2,0,14.8,14.8,3.9,18.7,47,107,207,0.47,0.22,0.69,0.47,0.69,0.54,0.14,0.68,0.54,0.68
792,Enzo Ebosse,cm CMR,DF,Angers,fr Ligue 1,22,1999,27,21,1890,21,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,26,55,18,0,0,0,0,0,0.01,0.03,0.03,0.01,0.03
793,Tyronne Ebuehi,ng NGA,DF,Venezia,it Serie A,25,1995,19,12,1138,12.6,0,0,0,0,0,0,1,1,0.6,0.6,0.4,1,29,29,52,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
794,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37,37,3330,37,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
795,Éderson,br BRA,MF,Salernitana,it Serie A,22,1999,15,13,1147,12.7,2,1,3,2,0,0,5,0,2,2,1,3.1,25,34,39,0.16,0.08,0.24,0.16,0.24,0.16,0.08,0.24,0.16,0.24
796,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,23,1998,28,18,1564,17.4,6,3,9,5,1,1,4,0,6.4,5.6,1.9,7.5,42,42,109,0.35,0.17,0.52,0.29,0.46,0.37,0.11,0.48,0.32,0.43
797,CJ Egan-Riley,eng ENG,DF,Manchester City,eng Premier League,18,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,24,1996,31,26,2194,24.4,1,2,3,1,0,0,2,0,1.1,1.1,1.4,2.5,23,109,52,0.04,0.08,0.12,0.04,0.12,0.05,0.06,0.1,0.05,0.1
799,Lilian Egloff,de GER,MFDF,Stuttgart,de Bundesliga,18,2002,4,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,4,0,0,0,0,0,0,0.39,0.39,0,0.39
800,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,26,1995,16,6,681,7.6,0,1,1,0,0,0,2,0,0.2,0.2,1,1.2,22,22,22,0,0.13,0.13,0,0.13,0.03,0.13,0.16,0.03,0.16
801,Julian Eitschberger,de GER,DF,Hertha BSC,de Bundesliga,17,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
802,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,32,1989,26,19,1637,18.2,1,0,1,1,0,0,11,1,0.9,0.9,0.3,1.2,10,62,20,0.05,0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06
803,Hugo Ekitike,fr FRA,FW,Reims,fr Ligue 1,19,2002,24,15,1273,14.1,10,3,13,9,1,2,1,1,6.5,4.8,1.5,6.3,35,18,87,0.71,0.21,0.92,0.64,0.85,0.46,0.1,0.57,0.34,0.44
804,Jurgen Ekkelenkamp,nl NED,MFFW,Hertha BSC,de Bundesliga,21,2000,21,6,718,8,3,0,3,3,0,0,1,0,1.5,1.5,0.4,1.9,9,24,48,0.38,0,0.38,0.38,0.38,0.19,0.05,0.24,0.19,0.24
805,Caleb Ekuban,gh GHA,FWMF,Genoa,it Serie A,27,1994,30,18,1716,19.1,1,2,3,1,0,0,2,0,3.5,3.5,2.4,5.9,31,31,133,0.05,0.1,0.16,0.05,0.16,0.18,0.13,0.31,0.18,0.31
806,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,19,2002,21,14,1214,13.5,2,2,4,2,0,0,0,0,2.6,2.6,2.4,5.1,32,18,114,0.15,0.15,0.3,0.15,0.3,0.19,0.18,0.37,0.19,0.37
807,Alberth Elis,hn HON,FWMF,Bordeaux,fr Ligue 1,25,1996,20,16,1409,15.7,9,1,10,9,0,1,2,0,6.5,5.7,1.3,7,42,27,118,0.57,0.06,0.64,0.57,0.64,0.42,0.08,0.5,0.37,0.45
808,Harvey Elliott,eng ENG,MF,Liverpool,eng Premier League,18,2003,6,4,346,3.8,0,0,0,0,0,0,0,0,0.8,0.8,0.6,1.4,10,36,38,0,0,0,0,0,0.21,0.16,0.37,0.21,0.37
809,Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,21,1999,37,12,1620,18,3,4,7,3,0,0,3,0,2.3,2.3,1.8,4.1,59,53,96,0.17,0.22,0.39,0.17,0.39,0.13,0.1,0.23,0.13,0.23
810,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,29,1992,14,8,806,9,0,2,2,0,0,0,1,0,0.2,0.2,0.4,0.6,5,43,2,0,0.22,0.22,0,0.22,0.02,0.05,0.07,0.02,0.07
811,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,27,1994,30,22,2105,23.4,4,1,5,4,0,0,3,1,1.6,1.6,0.1,1.7,20,85,12,0.17,0.04,0.21,0.17,0.21,0.07,0,0.07,0.07,0.07
812,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24,1996,28,28,2430,27,1,0,1,1,0,0,3,1,1.1,1.1,0.1,1.2,13,73,3,0.04,0,0.04,0.04,0.04,0.04,0,0.05,0.04,0.05
813,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18,2003,33,21,1786,19.8,10,1,11,10,0,0,2,0,7.8,7.8,0.9,8.8,24,12,100,0.5,0.05,0.55,0.5,0.55,0.4,0.05,0.45,0.4,0.45
814,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,26,1994,30,23,2042,22.7,4,2,6,4,0,0,4,0,5.5,5.5,2.3,7.8,59,81,124,0.18,0.09,0.26,0.18,0.26,0.24,0.1,0.34,0.24,0.34
815,Adri Embarba,es ESP,FWMF,Espanyol,es La Liga,29,1992,32,24,1986,22.1,0,2,2,0,0,0,4,0,2.8,2.8,2.5,5.3,75,54,134,0,0.09,0.09,0,0.09,0.13,0.12,0.24,0.13,0.24
816,Breel Embolo,ch SUI,FW,M'Gladbach,de Bundesliga,24,1997,29,24,2166,24.1,9,3,12,9,0,0,3,0,8.4,8.4,4.7,13.1,38,64,158,0.37,0.12,0.5,0.37,0.5,0.36,0.2,0.57,0.36,0.57
817,Emerson,br BRA,DFMF,Tottenham,eng Premier League,22,1999,31,26,2286,25.4,1,1,2,1,0,0,5,0,1.5,1.5,2.2,3.6,68,68,175,0.04,0.04,0.08,0.04,0.08,0.06,0.09,0.14,0.06,0.14
818,Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,3,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
819,Renaud Emond,be BEL,FWMF,Nantes,fr Ligue 1,29,1991,6,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0.01,0,0.01,0.01,0.01
820,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,24,1997,23,15,1277,14.2,5,1,6,4,1,1,1,0,6.4,5.6,1.2,6.7,7,14,57,0.35,0.07,0.42,0.28,0.35,0.45,0.08,0.53,0.39,0.47
821,Keita Endo,jp JPN,MF,Union Berlin,de Bundesliga,23,1997,4,0,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,12,0,0,0,0,0,0.12,0.04,0.17,0.12,0.17
822,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,33,33,2899,32.2,4,2,6,4,0,0,4,0,5,4.8,1.3,6.2,34,165,63,0.12,0.06,0.19,0.12,0.19,0.16,0.04,0.2,0.15,0.19
823,Christian Eriksen,dk DEN,MF,Brentford,eng Premier League,29,1992,11,10,939,10.4,1,4,5,1,0,0,1,0,1.3,1.3,3.5,4.8,21,82,22,0.1,0.38,0.48,0.1,0.48,0.12,0.34,0.46,0.12,0.46
824,Martin Erlic,hr CRO,DF,Spezia,it Serie A,23,1998,30,30,2576,28.6,2,0,2,2,0,0,5,0,3,3,0.4,3.4,6,32,3,0.07,0,0.07,0.07,0.07,0.1,0.01,0.12,0.1,0.12
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,28,1993,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,Gonzalo Escalante,ar ARG,MF,Alavés,es La Liga,28,1993,17,15,1300,14.4,5,0,5,5,0,0,8,1,3.2,3.2,0.2,3.4,7,41,15,0.35,0,0.35,0.35,0.35,0.22,0.01,0.23,0.22,0.23
827,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,4,3,284,3.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,Sergio Escudero,es ESP,DFMF,Granada,es La Liga,31,1989,27,15,1434,15.9,2,1,3,2,0,0,6,0,1.1,1.1,1.6,2.7,17,51,37,0.13,0.06,0.19,0.13,0.19,0.07,0.1,0.17,0.07,0.17
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37,37,3329,37,2,2,4,2,0,0,6,0,1.7,1.5,2.5,4,62,124,123,0.05,0.05,0.11,0.05,0.11,0.05,0.07,0.11,0.04,0.11
830,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,Estanis,es ESP,FW,Barcelona,es La Liga,17,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,24,20,1857,20.6,0,0,0,0,0,0,2,0,0.9,0.9,0.2,1.1,12,29,2,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
833,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,23,1998,28,17,1575,17.5,0,1,1,0,0,0,3,0,0.8,0.8,2.5,3.3,50,70,148,0,0.06,0.06,0,0.06,0.04,0.14,0.19,0.04,0.19
834,Oghenekaro Etebo,ng NGA,MF,Watford,eng Premier League,25,1995,9,4,401,4.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,3,16,1,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,33,1988,18,16,1348,15,1,1,2,1,0,0,3,0,0.6,0.6,0.8,1.4,1,49,4,0.07,0.07,0.13,0.07,0.13,0.04,0.05,0.09,0.04,0.09
836,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,13,6,605,6.7,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,20,33,38,0.15,0.15,0.3,0.15,0.3,0.07,0.13,0.2,0.07,0.2
837,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,es La Liga,19,2001,10,6,580,6.4,1,0,1,1,0,0,4,0,1.3,1.3,0.9,2.2,47,8,76,0.16,0,0.16,0.16,0.16,0.2,0.14,0.33,0.2,0.33
838,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,37,3330,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,Fabinho,br BRA,MF,Liverpool,eng Premier League,27,1993,29,26,2314,25.7,5,1,6,3,2,2,7,0,3.9,2.4,1.3,3.7,18,134,37,0.19,0.04,0.23,0.12,0.16,0.15,0.05,0.2,0.09,0.14
840,Fábio,br BRA,DF,Nantes,fr Ligue 1,31,1990,27,21,1667,18.5,0,2,2,0,0,0,8,1,1,1,1,2,26,64,75,0,0.11,0.11,0,0.11,0.05,0.06,0.11,0.05,0.11
841,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,34,1987,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,12,3,0,0,0,0,0,0,0.52,0.52,0,0.52
842,Wout Faes,be BEL,DF,Reims,fr Ligue 1,23,1998,37,37,3330,37,4,0,4,4,0,0,2,0,2.1,2.1,0.2,2.3,13,83,10,0.11,0,0.11,0.11,0.11,0.06,0,0.06,0.06,0.06
843,Wahidullah Faghir,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,6,0,123,1.4,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,2,3,18,0.73,0,0.73,0.73,0.73,0.26,0,0.26,0.26,0.26
844,Romain Faivre,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,14,9,889,9.9,3,0,3,3,0,0,0,0,1.8,1.8,2.3,4.1,63,84,72,0.3,0,0.3,0.3,0.3,0.18,0.23,0.41,0.18,0.41
845,Romain Faivre,fr FRA,MF,Brest,fr Ligue 1,23,1998,21,20,1795,19.9,7,5,12,2,5,5,1,0,6.5,2.5,2.8,5.3,100,118,98,0.35,0.25,0.6,0.1,0.35,0.32,0.14,0.47,0.13,0.27
846,Radamel Falcao,co COL,FW,Rayo Vallecano,es La Liga,35,1986,22,8,838,9.3,6,0,6,6,0,0,1,0,4.9,4.9,0.3,5.2,8,15,38,0.64,0,0.64,0.64,0.64,0.53,0.03,0.56,0.53,0.56
847,Diego Falcinelli,it ITA,FW,Bologna,it Serie A,30,1991,6,0,66,0.7,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,1,2,9,0,0,0,0,0,0.78,0,0.78,0.78,0.78
848,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,10,9,855,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,Fali,es ESP,DFMF,Cádiz,es La Liga,27,1993,28,23,1803,20,0,2,2,0,0,0,6,0,0.7,0.7,1.4,2,9,49,6,0,0.1,0.1,0,0.1,0.03,0.07,0.1,0.03,0.1
850,Paolo Faragò,it ITA,MF,Cagliari,it Serie A,28,1993,1,0,16,0.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,1,2,0,0,0,0,0,2.44,0,2.44,2.44,2.44
851,Omar Faraj,se SWE,FW,Levante,es La Liga,19,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29,1991,32,30,2572,28.6,4,5,9,4,0,0,8,1,3,3,2.9,5.9,31,123,125,0.14,0.17,0.31,0.14,0.31,0.11,0.1,0.21,0.11,0.21
853,Mohamed Fares,dz ALG,DFFW,Genoa,it Serie A,25,1996,9,6,587,6.5,2,1,3,2,0,0,2,0,1.1,1.1,0.7,1.8,16,15,22,0.31,0.15,0.46,0.31,0.46,0.17,0.11,0.28,0.17,0.28
854,Diego Farias,br BRA,MFFW,Cagliari,it Serie A,31,1990,4,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0.06,0,0.06,0.06,0.06
855,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,13,11,1105,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,Ömer Faruk Beyaz,tr TUR,DFMF,Stuttgart,de Bundesliga,17,2003,4,0,71,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,5,5,0,0,0,0,0,0.19,0,0.19,0.19,0.19
857,Noah Fatar,fr FRA,DFMF,Angers,fr Ligue 1,19,2002,3,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
858,Ansu Fati,es ESP,FW,Barcelona,es La Liga,18,2002,10,3,336,3.7,4,0,4,4,0,0,0,0,1.3,1.3,0.4,1.8,20,9,49,1.07,0,1.07,1.07,1.07,0.36,0.12,0.47,0.36,0.47
859,Julien Faussurier,fr FRA,MFDF,Brest,fr Ligue 1,34,1987,16,4,489,5.4,0,1,1,0,0,0,1,0,0.4,0.4,0.8,1.2,18,22,60,0,0.18,0.18,0,0.18,0.07,0.15,0.22,0.07,0.22
860,Andrea Favilli,it ITA,FW,Genoa,it Serie A,24,1997,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
861,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,34,1987,16,16,1434,15.9,1,0,1,1,0,0,3,1,1.5,1.5,0.4,1.8,19,40,6,0.06,0,0.06,0.06,0.06,0.09,0.02,0.12,0.09,0.12
862,Aleix Febas,es ESP,MF,Mallorca,es La Liga,25,1996,4,1,117,1.3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,1,9,1,0,0,0,0,0,0,0.12,0.12,0,0.12
863,Adrian Fein,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0.06,0.15,0.21,0.06,0.21
864,Nabil Fekir,fr FRA,MF,Betis,es La Liga,28,1993,34,33,2794,31,6,8,14,6,0,0,7,1,4.7,4.7,7,11.6,117,171,231,0.19,0.26,0.45,0.19,0.45,0.15,0.22,0.37,0.15,0.37
865,Felipe,br BRA,DF,Atlético Madrid,es La Liga,32,1989,26,15,1504,16.7,2,1,3,2,0,0,5,1,0.7,0.7,0.4,1.1,5,32,2,0.12,0.06,0.18,0.12,0.18,0.04,0.02,0.07,0.04,0.07
866,Luiz Felipe,it ITA,DF,Lazio,it Serie A,24,1997,31,28,2491,27.7,0,0,0,0,0,0,9,1,0.3,0.3,0.2,0.5,12,78,1,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
867,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,21,1999,24,13,1263,14,8,4,12,8,0,0,3,1,5.7,5.7,4.7,10.4,42,49,82,0.57,0.29,0.86,0.57,0.86,0.41,0.33,0.74,0.41,0.74
868,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23,1997,13,8,787,8.7,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,7,28,4,0,0,0,0,0,0.02,0,0.02,0.02,0.02
869,Kiko Femenía,es ESP,DF,Watford,eng Premier League,30,1991,27,26,2142,23.8,0,5,5,0,0,0,2,0,0.1,0.1,3.6,3.8,40,100,48,0,0.21,0.21,0,0.21,0,0.15,0.16,0,0.16
870,Evan Ferguson,ie IRL,MF,Brighton,eng Premier League,16,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
871,Nathan Ferguson,eng ENG,DF,Crystal Palace,eng Premier League,20,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26,1994,36,35,3111,34.6,10,6,16,10,0,2,10,0,9.7,8.1,9,17.1,78,237,190,0.29,0.17,0.46,0.29,0.46,0.28,0.26,0.54,0.23,0.5
873,Edimilson Fernandes,ch SUI,MFFW,Arminia,de Bundesliga,25,1996,7,2,283,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,12,21,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09
874,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13,13,1166,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,Álex Fernández,es ESP,MF,Cádiz,es La Liga,28,1992,32,22,2051,22.8,3,2,5,2,1,2,2,0,3,1.5,1.3,2.7,48,122,44,0.13,0.09,0.22,0.09,0.18,0.13,0.06,0.19,0.06,0.12
876,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
877,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,32,1989,7,5,523,5.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,0,12,1,0,0,0,0,0,0.07,0.06,0.13,0.07,0.13
878,Fernandinho,br BRA,MFDF,Manchester City,eng Premier League,36,1985,19,10,964,10.7,2,1,3,2,0,0,1,0,1.6,1.6,1,2.5,16,81,11,0.19,0.09,0.28,0.19,0.28,0.15,0.09,0.24,0.15,0.24
879,Fernando,br BRA,MFDF,Sevilla,es La Liga,34,1987,24,21,1850,20.6,1,1,2,1,0,0,6,0,1,1,0.4,1.4,15,86,11,0.05,0.05,0.1,0.05,0.1,0.05,0.02,0.07,0.05,0.07
880,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,27,1994,23,20,1643,18.3,1,0,1,1,0,0,4,0,0.6,0.6,0,0.6,7,39,5,0.05,0,0.05,0.05,0.05,0.03,0,0.03,0.03,0.03
881,Salvador Ferrer,es ESP,DFMF,Spezia,it Serie A,23,1998,27,14,1495,16.6,0,3,3,0,0,0,3,0,0.2,0.2,1.3,1.6,24,67,52,0,0.18,0.18,0,0.18,0.01,0.08,0.09,0.01,0.09
882,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29,1992,34,33,2911,32.3,0,2,2,0,0,0,13,1,0.3,0.3,3.4,3.7,78,290,43,0,0.06,0.06,0,0.06,0.01,0.11,0.12,0.01,0.12
883,Riccardo Fiamozzi,it ITA,DF,Empoli,it Serie A,28,1993,10,7,620,6.9,0,1,1,0,0,0,1,0,0,0,0.6,0.6,10,23,14,0,0.15,0.15,0,0.15,0,0.09,0.09,0,0.09
884,Fidel,es ESP,MF,Elche,es La Liga,31,1989,33,29,2261,25.1,5,6,11,4,1,1,9,0,2.8,2,4.4,6.4,64,135,136,0.2,0.24,0.44,0.16,0.4,0.11,0.17,0.28,0.08,0.25
885,Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,23,1998,16,7,560,6.2,0,0,0,0,0,0,3,0,0,0,0.5,0.5,10,39,51,0,0,0,0,0,0,0.07,0.07,0,0.07
886,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32,1989,10,3,292,3.2,2,1,3,2,0,0,0,0,1.3,1.3,0.8,2.2,2,8,14,0.62,0.31,0.92,0.62,0.92,0.41,0.26,0.67,0.41,0.67
887,Luca Fiordilino,it ITA,MF,Venezia,it Serie A,25,1996,15,5,661,7.3,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,3,23,10,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09
888,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,29,1991,20,10,990,11,5,4,9,5,0,0,3,0,4.7,4.7,1.7,6.4,27,40,100,0.45,0.36,0.82,0.45,0.82,0.43,0.16,0.59,0.43,0.59
890,Junior Firpo,es ESP,DFMF,Leeds United,eng Premier League,24,1996,24,19,1711,19,0,2,2,0,0,0,11,0,0.9,0.9,1.9,2.8,36,111,72,0,0.11,0.11,0,0.11,0.05,0.1,0.15,0.05,0.15
891,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,32,2880,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
892,Ashley Fletcher,eng ENG,FW,Watford,eng Premier League,25,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,1,0,1,0,0,0,0,0,1.8,0,1.8,1.8,1.8
893,Alexis Flips,fr FRA,MFDF,Reims,fr Ligue 1,21,2000,25,13,1056,11.7,2,4,6,1,1,1,2,0,2,1.2,3,4.2,15,29,61,0.17,0.34,0.51,0.09,0.43,0.17,0.26,0.43,0.1,0.36
894,Alessandro Florenzi,it ITA,DFFW,Milan,it Serie A,30,1991,24,12,1152,12.8,2,0,2,2,0,0,2,0,0.7,0.7,0.9,1.6,30,68,51,0.16,0,0.16,0.16,0.16,0.06,0.07,0.13,0.06,0.13
895,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,21,2000,28,24,2128,23.6,9,5,14,9,0,0,1,0,9.4,9.4,6.3,15.7,71,98,248,0.38,0.21,0.59,0.38,0.59,0.4,0.27,0.66,0.4,0.66
896,Mamadou Fofana,ml MLI,DF,Metz,fr Ligue 1,23,1998,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
