Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls p90,Ast p90,G+A p90,G-PK p90,G+A-PK p90,xG p90,xAG p90,xG+xAG p90,npxG p90,npxG+xAG p90
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,13,1,259,2.9,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.9,8,2,29,0,0.35,0.35,0,0.35,0.14,0.16,0.3,0.14,0.3
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,1.2,1.2,2.9,4.1,73,131,153,0.04,0.12,0.16,0.04,0.16,0.05,0.11,0.16,0.05,0.16
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,7.1,3,10.1,19,33,153,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,24,12,1351,15,0,1,1,0,0,0,5,0,0.2,0.2,0.9,1,20,96,23,0,0.07,0.07,0,0.07,0.01,0.06,0.07,0.01,0.07
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,13,2,331,3.7,1,0,1,1,0,0,0,0,0.7,0.7,0.5,1.2,9,9,26,0.27,0,0.27,0.27,0.27,0.18,0.14,0.31,0.18,0.31
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,8,2,352,3.9,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.8,5,16,13,0,0,0,0,0,0.09,0.12,0.21,0.09,0.21
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,25,13,1256,14,3,2,5,3,0,0,3,0,4.3,4.3,2.1,6.4,51,56,105,0.21,0.14,0.36,0.21,0.36,0.31,0.15,0.46,0.31,0.46
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,36,25,2260,25.1,1,7,8,1,0,0,5,0,2,2,5.7,7.7,66,164,99,0.04,0.28,0.32,0.04,0.32,0.08,0.23,0.31,0.08,0.31
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,12,4,443,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,19,9,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1
