Rk,Tkl-Tack,TklW-Tack,Def3rd-Tack,Mid3rd-Tack,Att3rd-Tack,Tkl-Chal,Att-Chal,Tkl%-Chal,Lost-Chal,Blocks-Bloc,Sh-Tack-Bloc,Pass-Tack-Bloc,Int,Tkl+Int,Clr,Err
1891,66,45,38,23,5,36,63,57.1,27,28,7,21,29,95,30,0
1892,18,14,9,9,0,12,22,54.5,10,22,15,7,34,52,50,0
1893,57,35,37,18,2,23,38,60.5,15,29,15,14,60,117,84,0
1894,32,19,18,14,0,12,34,35.3,22,14,4,10,12,44,17,1
1895,39,21,16,15,8,18,33,54.5,15,16,1,15,9,48,15,1
1896,2,1,1,1,0,0,1,0,1,1,0,1,2,4,0,1
1897,1,0,1,0,0,1,2,50,1,0,0,0,0,1,10,2
1898,6,3,0,5,1,3,9,33.3,6,4,2,2,7,13,5,0
1899,1,1,1,0,0,1,1,100,0,1,1,0,5,6,11,0
1900,5,3,1,1,3,3,5,60,2,2,0,2,2,7,2,0
1901,28,19,21,6,1,13,27,48.1,14,11,5,6,22,50,56,2
1902,18,13,11,5,2,9,17,52.9,8,15,2,13,17,35,26,1
1903,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1
1904,15,10,8,7,0,8,18,44.4,10,4,1,3,10,25,9,0
1905,60,32,32,27,1,22,55,40,33,36,8,28,42,102,54,1
1906,10,7,3,5,2,1,8,12.5,7,5,0,5,1,11,1,0
1907,25,14,5,17,3,12,19,63.2,7,8,3,5,3,28,6,2
1908,0,0,0,0,0,0,2,0,2,4,0,4,0,0,0,0
1909,5,3,3,1,1,2,3,66.7,1,0,0,0,0,5,1,0
1910,5,3,1,4,0,3,6,50,3,11,5,6,2,7,23,0
1911,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0
1912,3,2,2,1,0,1,3,33.3,2,5,1,4,6,9,11,1
1913,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0
1914,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
1915,4,4,2,0,2,0,9,0,9,0,0,0,6,10,1,0
1916,24,11,12,10,2,11,40,27.5,29,24,4,20,13,37,33,1
1917,2,1,2,0,0,1,2,50,1,0,0,0,0,2,7,1
1918,55,28,24,26,5,27,64,42.2,37,38,6,32,31,86,19,4
1919,31,19,24,7,0,16,28,57.1,12,27,9,18,32,63,81,0
1920,68,37,23,41,4,24,87,27.6,63,39,5,34,41,109,49,3
1921,29,19,5,12,12,12,36,33.3,24,9,1,8,4,33,2,1
1922,29,13,14,12,3,9,27,33.3,18,8,3,5,23,52,13,0
1923,31,18,23,5,3,11,26,42.3,15,11,4,7,12,43,32,0
1924,3,1,1,1,1,1,2,50,1,3,0,3,0,3,1,0
1925,21,14,9,6,6,5,14,35.7,9,13,3,10,2,23,9,0
1926,3,2,1,2,0,2,3,66.7,1,2,1,1,0,3,1,0
1927,8,7,8,0,0,4,11,36.4,7,5,3,2,27,35,34,0
1928,40,23,25,13,2,20,33,60.6,13,37,11,26,50,90,69,1
1929,1,1,0,1,0,0,5,0,5,6,1,5,3,4,16,0
1930,4,0,0,2,2,0,4,0,4,9,1,8,1,5,4,0
1931,11,7,7,3,1,7,11,63.6,4,7,2,5,7,18,17,0
1932,2,2,0,2,0,2,3,66.7,1,1,1,0,1,3,2,0
1933,6,5,1,3,2,4,13,30.8,9,9,0,9,4,10,7,0
1934,17,12,5,11,1,8,21,38.1,13,18,1,17,7,24,22,0
1935,20,9,11,9,0,9,16,56.3,7,14,3,11,7,27,10,1
1936,7,2,0,6,1,3,4,75,1,7,1,6,0,7,3,0
1937,39,26,29,7,3,22,34,64.7,12,48,24,24,49,88,132,1
1938,37,19,24,13,0,20,26,76.9,6,36,23,13,56,93,143,1
1939,5,1,1,4,0,2,5,40,3,2,0,2,1,6,0,0
1940,10,4,3,2,5,2,12,16.7,10,9,2,7,3,13,15,0
1941,9,4,1,4,4,1,4,25,3,9,2,7,4,13,5,0
