Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.p90,Ast.p90,G+A.p90,G-PK.p90,G+A-PK.p90,xG.p90,xAG.p90,xG+xAG.p90,npxG.p90,npxG+xAG.p90
123,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-362,1989,10,4,493,5.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,3,32,7,0.18,0,0.18,0.18,0.18,0.06,0.04,0.1,0.06,0.1
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-038,1999,16,15,1288,14.3,0,2,2,0,0,0,5,1,1.5,1.5,0.7,2.3,24,52,9,0,0.14,0.14,0,0.14,0.11,0.05,0.16,0.11,0.16
125,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,21-267,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
126,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-153,2003,4,1,128,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,1,8,0,0,0,0,0,0.19,0.1,0.29,0.19,0.29
127,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-046,1993,5,2,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-267,1996,19,11,1094,12.2,2,0,2,2,0,0,2,0,1.4,1.4,0.8,2.2,17,35,58,0.16,0,0.16,0.16,0.16,0.12,0.06,0.18,0.12,0.18
129,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,26-063,1997,24,12,1111,12.3,1,1,2,1,0,0,1,0,1.6,1.6,0.7,2.3,37,15,59,0.08,0.08,0.16,0.08,0.16,0.13,0.05,0.19,0.13,0.19
130,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,31-015,1992,25,11,1103,12.3,1,0,1,1,0,0,5,0,1.6,1.6,1.7,3.3,44,60,65,0.08,0,0.08,0.08,0.08,0.13,0.14,0.27,0.13,0.27
131,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33-360,1989,16,14,1231,13.7,8,0,8,5,3,3,5,0,5.7,3.3,1.7,5,11,28,87,0.58,0,0.58,0.37,0.37,0.41,0.13,0.54,0.24,0.37
132,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28-322,1994,26,26,2236,24.8,5,3,8,2,3,5,5,0,4.9,0.9,4,4.9,25,125,17,0.2,0.12,0.32,0.08,0.2,0.2,0.16,0.36,0.04,0.2
133,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,19-008,2004,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
134,Sergio Arribas,es ESP,FW,Real Madrid,es La Liga,21-196,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,2,0,0,0,0,0,0,1.4,0.27,1.67,1.4,1.67
135,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-193,1994,22,22,1935,21.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-232,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
137,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-241,1990,28,11,956,10.6,1,0,1,1,0,0,1,0,1.6,1.6,1.1,2.7,37,64,33,0.09,0,0.09,0.09,0.09,0.15,0.1,0.26,0.15,0.26
138,Ricard Artero,es ESP,FW,Girona,es La Liga,20-068,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Arthur,br BRA,FW,Fiorentina,it Serie A,24-354,1998,24,11,1097,12.2,6,1,7,5,1,1,2,0,5.7,4.9,0.7,5.6,9,18,69,0.49,0.08,0.57,0.41,0.49,0.46,0.06,0.52,0.4,0.46
140,Santiago Arzamendia,py PAR,DFMF,Cádiz,es La Liga,24-344,1998,9,4,389,4.3,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,7,11,17,0,0,0,0,0,0.05,0.11,0.15,0.05,0.15
141,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,28-155,1994,18,15,1178,13.1,2,2,4,2,0,0,1,0,3.5,3.5,1.2,4.6,19,20,80,0.15,0.15,0.31,0.15,0.31,0.27,0.09,0.35,0.27,0.35
142,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,26-048,1997,13,7,727,8.1,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,1,41,6,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1
143,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-290,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,27-083,1996,22,9,881,9.8,6,4,10,6,0,1,1,0,4.9,4.1,2.7,6.9,34,41,70,0.61,0.41,1.02,0.61,1.02,0.5,0.28,0.78,0.42,0.7
145,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,22-095,2001,19,6,633,7,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,9,21,16,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1
146,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,20-249,2002,8,0,167,1.9,0,0,0,0,0,0,0,0,1.7,1.7,0.2,1.8,4,1,19,0,0,0,0,0,0.88,0.1,0.98,0.88,0.98
147,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-036,2002,14,3,372,4.1,0,0,0,0,0,0,2,0,0.3,0.3,0.8,1.1,5,18,5,0,0,0,0,0,0.06,0.19,0.25,0.06,0.25
148,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35-256,1987,28,26,2374,26.4,12,3,15,10,2,3,5,0,10,7.7,4.8,12.4,69,123,193,0.45,0.11,0.57,0.38,0.49,0.38,0.18,0.56,0.29,0.47
149,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22-296,2000,6,2,194,2.2,0,1,1,0,0,0,2,0,0.3,0.3,0.3,0.6,4,7,8,0,0.46,0.46,0,0.46,0.15,0.14,0.29,0.15,0.29
150,Youcef Atal,dz ALG,DFMF,Nice,fr Ligue 1,26-332,1996,13,7,637,7.1,1,0,1,1,0,0,1,0,0.9,0.9,1.2,2,30,32,45,0.14,0,0.14,0.14,0.14,0.12,0.17,0.29,0.12,0.29
151,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17-232,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-300,1989,13,4,464,5.2,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.3,8,3,24,0.19,0,0.19,0.19,0.19,0.18,0.08,0.26,0.18,0.26
153,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-300,1989,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,1.18,0,1.18,1.18,1.18
154,Emil Audero,it ITA,GK,Sampdoria,it Serie A,26-086,1997,25,25,2250,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-227,1994,28,26,2251,25,2,4,6,2,0,0,1,0,0.6,0.6,2.5,3,66,86,114,0.08,0.16,0.24,0.08,0.24,0.02,0.1,0.12,0.02,0.12
156,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28-358,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.1,0,0.1,0.1,0.1
157,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28-358,1994,3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0.02,0.02,0,0.02
158,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,30-111,1992,18,16,1430,15.9,1,0,1,1,0,0,2,0,0.7,0.7,1,1.7,33,59,42,0.06,0,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11
159,Mathias Autret,fr FRA,MFFW,Auxerre,fr Ligue 1,32-044,1991,21,16,1273,14.1,2,2,4,1,1,1,0,0,2.5,1.7,2,3.7,20,75,56,0.14,0.14,0.28,0.07,0.21,0.18,0.14,0.32,0.12,0.26
160,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,29-067,1994,23,20,1465,16.3,7,2,9,5,2,3,7,1,6,3.7,1.6,5.3,19,33,84,0.43,0.12,0.55,0.31,0.43,0.37,0.1,0.47,0.22,0.33
161,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-215,1986,20,16,1517,16.9,1,0,1,1,0,0,1,1,1,1,0,1,3,30,1,0.06,0,0.06,0.06,0.06,0.06,0,0.06,0.06,0.06
162,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25-245,1997,19,9,796,8.8,4,0,4,4,0,0,1,0,4.5,4.5,1,5.5,11,7,36,0.45,0,0.45,0.45,0.45,0.51,0.11,0.62,0.51,0.62
163,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,19-190,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0.19,0.58,0.77,0.19,0.77
164,Mehmet Aydin,de GER,DFFW,Schalke 04,de Bundesliga,21-064,2002,15,3,537,6,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,8,11,21,0,0,0,0,0,0.03,0.12,0.16,0.03,0.16
165,André Ayew,gh GHA,FWMF,Nott'ham Forest,eng Premier League,33-118,1989,9,1,262,2.9,0,0,0,0,0,1,0,0,1,0.3,0,0.3,3,6,15,0,0,0,0,0,0.36,0,0.36,0.09,0.09
166,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,31-215,1991,30,23,2002,22.2,3,2,5,3,0,0,3,0,2.3,2.3,2.5,4.7,56,46,119,0.13,0.09,0.22,0.13,0.22,0.1,0.11,0.21,0.1,0.21
167,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,28-155,1994,10,5,545,6.1,0,0,0,0,0,0,1,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0
168,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,31-232,1991,23,16,1514,16.8,1,1,2,1,0,0,2,0,2,2,1.6,3.6,18,58,67,0.06,0.06,0.12,0.06,0.12,0.12,0.1,0.21,0.12,0.21
169,Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,22-004,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,28-103,1995,16,5,603,6.7,4,1,5,4,0,0,1,0,2.8,2.8,2.3,5.1,7,27,39,0.6,0.15,0.75,0.6,0.75,0.41,0.34,0.75,0.41,0.75
171,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,33-229,1989,19,11,1106,12.3,0,0,0,0,0,0,3,0,0.3,0.3,1,1.3,17,59,60,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11
172,Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,19-099,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,27-082,1996,20,15,1231,13.7,0,0,0,0,0,0,5,0,0.4,0.4,0.2,0.7,3,36,6,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
174,Srđan Babić,rs SRB,DF,Almería,es La Liga,26-357,1996,25,24,2205,24.5,3,0,3,3,0,0,3,0,1.2,1.2,0.2,1.4,17,48,4,0.12,0,0.12,0.12,0.12,0.05,0.01,0.06,0.05,0.06
175,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,23-003,2000,10,9,808,9,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,5,28,2,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
176,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,23-003,2000,1,1,90,1,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,0,3,0,0,1,1,0,1,0.2,0.06,0.26,0.2,0.26
177,Édgar Badía,es ESP,GK,Elche,es La Liga,31-061,1992,28,28,2520,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,22-019,2001,8,7,635,7.1,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.3,9,43,1,0,0,0,0,0,0.12,0.07,0.18,0.12,0.18
179,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,22-019,2001,11,9,839,9.3,2,0,2,2,0,0,3,0,0.6,0.6,0.4,1,3,39,0,0.21,0,0.21,0.21,0.21,0.07,0.04,0.11,0.07,0.11
180,Alex Baena,es ESP,MFFW,Villarreal,es La Liga,21-268,2001,25,14,1467,16.3,4,2,6,4,0,0,12,1,2.6,2.6,4.5,7.1,37,88,79,0.25,0.12,0.37,0.25,0.37,0.16,0.27,0.44,0.16,0.44
181,Jaime Báez,uy URU,DF,Cremonese,it Serie A,27-354,1995,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,5,4,8,0,0,0,0,0,0.12,0.12,0.24,0.12,0.24
182,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,25-248,1997,29,23,1735,19.3,4,3,7,4,0,0,4,0,4.9,4.9,3.6,8.5,76,26,166,0.21,0.16,0.36,0.21,0.36,0.25,0.19,0.44,0.25,0.44
183,Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,29-002,1994,12,4,434,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,6,3,0,0,0,0,0,0.04,0,0.04,0.04,0.04
184,Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29-286,1993,2,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
185,Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,22-108,2000,7,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0.21,0.21,0,0.21
186,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18-174,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,10,24,1,0.17,0,0.17,0.17,0.17,0.13,0.06,0.2,0.13,0.2
187,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,24-045,1999,19,8,940,10.4,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,22,29,47,0.1,0.1,0.19,0.1,0.19,0.12,0.11,0.23,0.12,0.23
188,Nedim Bajrami,al ALB,FW,Sassuolo,it Serie A,24-045,1999,9,2,340,3.8,1,0,1,1,0,0,0,0,1.4,1.4,0.5,1.9,9,16,29,0.26,0,0.26,0.26,0.26,0.37,0.14,0.51,0.37,0.51
189,Cédric Bakambu,cd COD,MF,Marseille,fr Ligue 1,32-003,1991,3,0,59,0.7,0,1,1,0,0,0,0,0,0,0,1,1,1,0,4,0,1.53,1.53,0,1.53,0,1.56,1.56,0,1.56
190,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,28-240,1994,3,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
191,Mitchel Bakker,nl NED,DFMF,Leverkusen,de Bundesliga,22-298,2000,22,13,1184,13.2,3,2,5,3,0,0,4,1,1.4,1.4,1.7,3.1,20,45,52,0.23,0.15,0.38,0.23,0.38,0.11,0.13,0.24,0.11,0.24
192,Ridle Baku,de GER,DF,Wolfsburg,de Bundesliga,25-006,1998,26,23,2075,23.1,5,1,6,5,0,0,5,0,2.5,2.5,3.3,5.8,42,109,118,0.22,0.04,0.26,0.22,0.26,0.11,0.14,0.25,0.11,0.25
