Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.p90,Ast.p90,G+A.p90,G-PK.p90,G+A-PK.p90,xG.p90,xAG.p90,xG+xAG.p90,npxG.p90,npxG+xAG.p90
333,Federico Bonazzoli,it ITA,FWMF,Salernitana,it Serie A,25-328,1997,23,12,1086,12.1,2,1,3,2,0,0,1,0,2.4,2.4,1.1,3.5,11,42,67,0.17,0.08,0.25,0.17,0.25,0.19,0.09,0.29,0.19,0.29
334,Warren Bondo,fr FRA,MF,Monza,it Serie A,19-211,2003,4,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,5,2,0,0,0,0,0,0.09,0,0.09,0.09,0.09
335,Theo Bongonda,cd COD,MF,Cádiz,es La Liga,27-145,1995,21,16,1280,14.2,2,3,5,2,0,0,0,0,3.2,3.2,2,5.2,40,23,72,0.14,0.21,0.35,0.14,0.35,0.22,0.14,0.36,0.22,0.36
336,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,26-330,1996,7,4,416,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,12,0,0,0,0,0,0,0.04,0,0.05,0.04,0.05
337,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,35-348,1987,13,7,692,7.7,1,0,1,1,0,1,2,0,0.9,0.1,0.2,0.3,2,24,1,0.13,0,0.13,0.13,0.13,0.12,0.02,0.15,0.01,0.04
338,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,26-213,1996,27,27,2341,26,2,0,2,2,0,0,4,1,2.8,2.8,2.1,5,53,79,151,0.08,0,0.08,0.08,0.08,0.11,0.08,0.19,0.11,0.19
339,Yvandro Borges Sanches,lu LUX,FWMF,M'Gladbach,de Bundesliga,18-325,2004,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,5,0,0,0,0,0,0.34,0,0.34,0.34,0.34
340,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,24-023,1999,19,16,1343,14.9,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.3,3,46,5,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02
341,Rafael Borré,co COL,MFFW,Eint Frankfurt,de Bundesliga,27-211,1995,26,8,841,9.3,2,2,4,1,1,1,4,0,3.6,2.8,1.6,4.5,21,24,77,0.21,0.21,0.43,0.11,0.32,0.39,0.18,0.56,0.3,0.48
342,Erik Botheim,no NOR,FW,Salernitana,it Serie A,23-094,2000,19,3,361,4,1,1,2,1,0,0,1,0,0.4,0.4,1.3,1.7,7,11,35,0.25,0.25,0.5,0.25,0.5,0.09,0.32,0.42,0.09,0.42
343,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,23-092,2000,27,26,2317,25.7,0,0,0,0,0,0,2,0,1.3,1.3,1,2.2,7,66,3,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09
344,Kenji-Van Boto,mg MAD,DF,Auxerre,fr Ligue 1,27-038,1996,2,2,180,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,2,10,0,0,0,0,0,0.05,0,0.05,0.05,0.05
345,Kouamé Botué,bf BFA,FWMF,Ajaccio,fr Ligue 1,20-250,2002,8,2,229,2.5,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,4,4,16,0,0,0,0,0,0.48,0.05,0.53,0.48,0.53
346,Badredine Bouanani,dz ALG,FWMF,Nice,fr Ligue 1,18-127,2004,11,3,357,4,0,3,3,0,0,0,0,0,0.5,0.5,1.5,2,18,12,42,0,0.76,0.76,0,0.76,0.13,0.38,0.51,0.13,0.51
347,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,23-203,1999,19,15,1266,14.1,0,1,1,0,0,0,3,0,0.6,0.6,1.2,1.7,25,63,39,0,0.07,0.07,0,0.07,0.04,0.08,0.12,0.04,0.12
348,Franci Bouebari,fr FRA,DF,Strasbourg,fr Ligue 1,19-214,2003,2,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.03,0.03,0,0.03
349,Sofiane Boufal,ma MAR,FWMF,Angers,fr Ligue 1,29-209,1993,13,9,834,9.3,4,3,7,2,2,2,3,1,3.6,2.1,2.9,5,49,56,94,0.43,0.32,0.76,0.22,0.54,0.39,0.32,0.71,0.22,0.54
350,Wassim Boullif,es ESP,DFMF,Espanyol,es La Liga,18-070,2005,5,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
351,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32-009,1991,24,24,2061,22.9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
352,Ismaëlben Boura,fr FRA,DFFW,Lens,fr Ligue 1,22-243,2000,9,0,93,1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,6,11,0,0,0,0,0,0.06,0.2,0.26,0.06,0.26
353,Mehdi Bourabia,ma MAR,MF,Spezia,it Serie A,31-250,1991,29,28,2242,24.9,0,2,2,0,0,0,3,0,1.1,1.1,3.2,4.3,30,91,32,0,0.08,0.08,0,0.08,0.04,0.13,0.17,0.04,0.17
354,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,29-090,1994,29,29,2378,26.4,3,6,9,2,1,1,5,1,5,4.2,8.3,12.5,30,199,207,0.11,0.23,0.34,0.08,0.3,0.19,0.31,0.5,0.16,0.47
355,Edoardo Bove,it ITA,MF,Roma,it Serie A,20-333,2002,13,3,332,3.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3,7,4,0,0,0,0,0,0.11,0.02,0.13,0.11,0.13
356,Jarrod Bowen,eng ENG,FWMF,West Ham,eng Premier League,26-115,1996,29,29,2600,28.9,4,3,7,3,1,2,2,0,7.5,6.5,5.4,11.9,81,56,180,0.14,0.1,0.24,0.1,0.21,0.26,0.19,0.45,0.22,0.41
357,Lucas Boyé,ar ARG,FW,Elche,es La Liga,27-045,1996,25,21,1782,19.8,3,2,5,3,0,1,6,1,5.2,4.4,1.9,6.3,47,48,116,0.15,0.1,0.25,0.15,0.25,0.26,0.09,0.36,0.22,0.32
358,Jayden Braaf,nl NED,MF,Hellas Verona,it Serie A,20-226,2002,4,2,225,2.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,3,18,0,0,0,0,0,0.16,0.02,0.18,0.16,0.18
359,Domagoj Bradarić,hr CRO,DF,Salernitana,it Serie A,23-125,1999,24,18,1715,19.1,0,2,2,0,0,0,4,0,0.2,0.2,2.2,2.4,52,42,95,0,0.1,0.1,0,0.1,0.01,0.11,0.12,0.01,0.12
360,Bilal Brahimi,dz ALG,FWMF,Nice,fr Ligue 1,23-031,2000,21,3,589,6.5,3,2,5,3,0,0,0,0,0.9,0.9,1.6,2.5,32,13,71,0.46,0.31,0.76,0.46,0.76,0.14,0.25,0.38,0.14,0.38
361,Martin Braithwaite,dk DEN,FWMF,Espanyol,es La Liga,31-313,1991,23,23,1899,21.1,9,1,10,9,0,0,4,1,7.3,7.3,1.1,8.3,22,39,96,0.43,0.05,0.47,0.43,0.47,0.34,0.05,0.39,0.34,0.39
362,Juan Brandáriz,es ESP,DF,Almería,es La Liga,24-043,1999,17,12,1197,13.3,1,0,1,1,0,0,5,0,0.4,0.4,0,0.4,11,29,10,0.08,0,0.08,0.08,0.08,0.03,0,0.03,0.03,0.03
363,Julian Brandt,de GER,MFFW,Dortmund,de Bundesliga,26-347,1996,25,22,1885,20.9,8,4,12,8,0,0,2,0,3.8,3.8,6.7,10.5,46,91,164,0.38,0.19,0.57,0.38,0.57,0.18,0.32,0.5,0.18,0.5
364,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,31-061,1992,25,9,1041,11.6,1,1,2,1,0,0,5,0,1.2,1.2,0.7,1.9,18,49,36,0.09,0.09,0.17,0.09,0.17,0.1,0.06,0.16,0.1,0.16
365,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,23-163,1999,28,27,2373,26.4,0,0,0,0,0,0,4,0,0.5,0.5,0.9,1.4,19,87,29,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05
366,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40-001,1983,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
367,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28-043,1995,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,James Bree,eng ENG,DF,Southampton,eng Premier League,25-185,1997,3,2,201,2.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,3,11,0,0,0,0,0,0,0.1,0.1,0,0.1
369,Josip Brekalo,hr CRO,FW,Fiorentina,it Serie A,24-295,1998,3,0,95,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,6,9,18,0,0,0,0,0,0.06,0.35,0.41,0.06,0.41
370,Josip Brekalo,hr CRO,MFFW,Wolfsburg,de Bundesliga,24-295,1998,6,3,271,3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,9,13,17,0,0.33,0.33,0,0.33,0.03,0.14,0.17,0.03,0.17
371,Gleison Bremer,br BRA,DF,Juventus,it Serie A,26-027,1997,25,25,2196,24.4,3,1,4,3,0,0,5,0,3.9,3.9,1,4.9,6,35,3,0.12,0.04,0.16,0.12,0.16,0.16,0.04,0.2,0.16,0.2
372,Armando Broja,al ALB,FW,Chelsea,eng Premier League,21-216,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,8,4,17,0.31,0,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27
373,Dylan Bronn,tn TUN,DF,Salernitana,it Serie A,27-299,1995,21,17,1470,16.3,0,0,0,0,0,0,3,1,0.7,0.7,0.4,1,9,66,5,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06
374,David Brooks,wls WAL,DFFW,Bournemouth,eng Premier League,25-280,1997,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11,0,0.11,0.11,0.11
375,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30-076,1993,8,8,720,8,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,1,25,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01
376,Moritz Broschinski,de GER,FWMF,Bochum,de Bundesliga,22-203,2000,7,0,120,1.3,1,0,1,1,0,0,1,0,0.4,0.4,0,0.4,6,1,12,0.75,0,0.75,0.75,0.75,0.31,0,0.31,0.31,0.31
377,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,30-149,1992,19,12,1115,12.4,2,0,2,2,0,0,6,0,2,2,0.8,2.8,19,69,19,0.16,0,0.16,0.16,0.16,0.16,0.06,0.22,0.16,0.22
378,Cédric Brunner,ch SUI,DF,Schalke 04,de Bundesliga,29-056,1994,23,23,1942,21.6,0,0,0,0,0,0,3,0,0.2,0.2,1.4,1.6,27,69,20,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07
379,Lewis Brunt,eng ENG,DF,Leicester City,eng Premier League,22-159,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
380,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,de Bundesliga,24-207,1998,11,3,294,3.3,1,0,1,1,0,0,0,0,1.2,1.2,0.3,1.5,9,4,23,0.31,0,0.31,0.31,0.31,0.38,0.1,0.47,0.38,0.47
381,Andreas Bruus,dk DEN,DFFW,Troyes,fr Ligue 1,24-088,1999,20,14,1283,14.3,0,2,2,0,0,0,2,0,0.4,0.4,1.6,1.9,38,33,94,0,0.14,0.14,0,0.14,0.03,0.11,0.14,0.03,0.14
382,Bryan,es ESP,MFFW,Tottenham,eng Premier League,22-062,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,15,0,0.61,0.61,0,0.61,0.06,0.11,0.17,0.06,0.17
383,Bryan,es ESP,DFMF,Sevilla,es La Liga,22-062,2001,9,5,477,5.3,1,2,3,1,0,0,2,0,1.5,1.5,0.7,2.2,16,13,40,0.19,0.38,0.57,0.19,0.57,0.29,0.13,0.42,0.29,0.42
384,Joe Bryan,eng ENG,MFDF,Nice,fr Ligue 1,29-209,1993,5,2,166,1.8,0,0,0,0,0,0,2,0,0,0,0,0.1,2,8,15,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
385,Lee Buchanan,eng ENG,DFFW,Werder Bremen,de Bundesliga,22-038,2001,17,1,357,4,1,0,1,1,0,0,1,0,0.2,0.2,0.5,0.8,8,19,18,0.25,0,0.25,0.25,0.25,0.06,0.14,0.2,0.06,0.2
386,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,31-266,1991,23,16,1298,14.4,2,0,2,2,0,0,3,0,3.8,3.8,0.6,4.4,15,15,77,0.14,0,0.14,0.14,0.14,0.26,0.04,0.3,0.26,0.3
387,Emi Buendía,ar ARG,MFFW,Aston Villa,eng Premier League,26-110,1996,30,21,1872,20.8,5,1,6,5,0,0,0,0,5,5,4.2,9.1,45,114,104,0.24,0.05,0.29,0.24,0.29,0.24,0.2,0.44,0.24,0.44
388,Hugo Bueno,es ESP,DF,Wolves,eng Premier League,20-208,2002,16,13,1066,11.8,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,43,32,56,0,0.08,0.08,0,0.08,0.01,0.05,0.07,0.01,0.07
389,Santiago Bueno,uy URU,DF,Girona,es La Liga,24-156,1998,27,27,2417,26.9,0,1,1,0,0,0,6,1,1.2,1.2,1.1,2.3,16,116,3,0,0.04,0.04,0,0.04,0.05,0.04,0.09,0.05,0.09
390,Adam Buksa,pl POL,FWMF,Lens,fr Ligue 1,26-276,1996,4,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
391,Marius Bülter,de GER,FWMF,Schalke 04,de Bundesliga,30-016,1993,27,24,2101,23.3,7,1,8,4,3,3,4,0,6.4,4,3.5,7.5,60,69,160,0.3,0.04,0.34,0.17,0.21,0.27,0.15,0.42,0.17,0.32
392,Cristian Buonaiuto,it ITA,MFFW,Cremonese,it Serie A,30-106,1992,21,4,692,7.7,0,0,0,0,0,0,2,0,1.9,1.9,1.5,3.4,22,30,62,0,0,0,0,0,0.25,0.19,0.44,0.25,0.44
393,Facundo Buonanotte,ar ARG,FWMF,Brighton,eng Premier League,18-112,2004,4,0,58,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.3,2,1,3,0,1.55,1.55,0,1.55,0.22,0.18,0.4,0.22,0.4
394,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,23-312,1999,25,21,1911,21.2,0,1,1,0,0,0,8,0,1.5,1.5,1.1,2.5,9,61,15,0,0.05,0.05,0,0.05,0.07,0.05,0.12,0.07,0.12
395,Delano Burgzorg,nl NED,FWMF,Mainz 05,de Bundesliga,24-158,1998,11,0,212,2.4,0,1,1,0,0,0,2,0,0.2,0.2,0.1,0.2,1,3,20,0,0.42,0.42,0,0.42,0.06,0.02,0.09,0.06,0.09
396,Jonathan Burkardt,de GER,MFFW,Mainz 05,de Bundesliga,22-277,2000,11,7,533,5.9,1,2,3,1,0,1,2,0,3,2.2,1.1,3.3,9,14,46,0.17,0.34,0.51,0.17,0.51,0.5,0.18,0.68,0.37,0.55
397,Oliver Burke,sct SCO,FWMF,Werder Bremen,de Bundesliga,26-007,1997,15,1,268,3,2,0,2,2,0,0,0,0,1,1,0.3,1.3,11,7,36,0.67,0,0.67,0.67,0.67,0.35,0.09,0.44,0.35,0.44
398,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,30-340,1992,29,28,2474,27.5,0,0,0,0,0,0,4,0,1.2,1.2,1.2,2.4,23,85,34,0,0,0,0,0,0.04,0.04,0.09,0.04,0.09
399,Maxime Busi,be BEL,DF,Reims,fr Ligue 1,23-182,1999,14,7,662,7.4,0,1,1,0,0,0,3,0,0.1,0.1,0.4,0.5,16,26,28,0,0.14,0.14,0,0.14,0.01,0.06,0.07,0.01,0.07
400,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,34-272,1988,23,21,1737,19.3,0,3,3,0,0,0,6,1,0.3,0.3,2.1,2.3,13,169,24,0,0.16,0.16,0,0.16,0.01,0.11,0.12,0.01,0.12
401,Aurélio Buta,pt POR,DF,Eint Frankfurt,de Bundesliga,26-063,1997,11,8,722,8,2,2,4,2,0,0,1,0,0.4,0.4,1.3,1.7,24,29,56,0.25,0.25,0.5,0.25,0.5,0.04,0.16,0.21,0.04,0.21
402,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23-192,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Jamie Bynoe-Gittens,eng ENG,FWMF,Dortmund,de Bundesliga,18-249,2004,14,4,511,5.7,3,1,4,3,0,0,1,0,2.3,2.3,0.7,3,23,9,36,0.53,0.18,0.7,0.53,0.7,0.4,0.12,0.52,0.4,0.52
404,Juan Cabal,co COL,DF,Hellas Verona,it Serie A,22-096,2001,6,0,172,1.9,0,0,0,0,0,0,1,0,0,0,0.3,0.3,2,11,4,0,0,0,0,0,0,0.15,0.15,0,0.15
405,Rémy Cabella,fr FRA,MFFW,Lille,fr Ligue 1,33-037,1990,24,21,1886,21,5,6,11,5,0,0,3,0,5.5,5.5,7.5,13,86,176,181,0.24,0.29,0.52,0.24,0.52,0.26,0.36,0.62,0.26,0.62
406,Jimmy Cabot,fr FRA,DFMF,Lens,fr Ligue 1,28-361,1994,11,5,511,5.7,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,26,29,65,0,0.18,0.18,0,0.18,0.05,0.37,0.43,0.05,0.43
407,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,31-301,1991,24,23,1962,21.8,0,0,0,0,0,0,7,2,1.9,1.9,1,2.9,10,64,4,0,0,0,0,0,0.09,0.04,0.13,0.09,0.13
408,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22-199,2000,9,3,400,4.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,20,32,25,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09
409,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,25-287,1997,24,18,1618,18,2,1,3,2,0,0,3,0,0.6,0.6,2.1,2.7,15,69,37,0.11,0.06,0.17,0.11,0.17,0.04,0.12,0.15,0.04,0.15
410,Cafú,pt POR,MF,Nott'ham Forest,eng Premier League,30-047,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
411,Moisés Caicedo,ec ECU,MF,Brighton,eng Premier League,21-163,2001,27,26,2348,26.1,1,1,2,1,0,0,8,0,1.3,1.3,2.3,3.6,23,161,38,0.04,0.04,0.08,0.04,0.08,0.05,0.09,0.14,0.05,0.14
412,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32-084,1991,24,1,538,6,0,0,0,0,0,0,2,0,0.7,0.7,1.2,1.9,24,61,33,0,0,0,0,0,0.12,0.21,0.32,0.12,0.32
413,Jens Cajuste,se SWE,MF,Reims,fr Ligue 1,23-247,1999,24,10,1131,12.6,3,1,4,3,0,0,8,1,1.3,1.3,1,2.3,33,77,27,0.24,0.08,0.32,0.24,0.32,0.1,0.08,0.18,0.1,0.18
414,Cala,es ESP,DF,Cádiz,es La Liga,33-139,1989,3,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
415,Davide Calabria,it ITA,DF,Milan,it Serie A,26-129,1996,17,15,1166,13,1,3,4,1,0,0,4,0,1,1,1.2,2.2,21,66,57,0.08,0.23,0.31,0.08,0.31,0.08,0.09,0.17,0.08,0.17
416,Mattia Caldara,it ITA,DF,Spezia,it Serie A,28-344,1994,19,13,1252,13.9,0,0,0,0,0,0,6,0,0.8,0.8,0,0.8,5,34,4,0,0,0,0,0,0.06,0,0.06,0.06,0.06
417,Luca Caldirola,it ITA,DF,Monza,it Serie A,32-072,1991,23,19,1688,18.8,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,10,50,12,0,0,0,0,0,0.04,0.03,0.06,0.04,0.06
418,Fernando Calero,es ESP,DFMF,Espanyol,es La Liga,27-212,1995,20,15,1244,13.8,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.7,5,47,1,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
419,Duje Ćaleta-Car,hr CRO,DF,Southampton,eng Premier League,26-209,1996,11,8,806,9,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,3,28,0,0,0,0,0,0,0.03,0,0.04,0.03,0.04
420,Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,26-209,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29-065,1994,26,23,1924,21.4,2,5,7,1,1,1,2,0,2.7,1.9,3.7,5.6,37,143,53,0.09,0.23,0.33,0.05,0.28,0.13,0.17,0.3,0.09,0.26
422,Kerim Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,20-231,2002,3,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,3,3,0,0,0,0,0,0.04,0.23,0.27,0.04,0.27
423,Daniel Caligiuri,it ITA,DFMF,Augsburg,de Bundesliga,35-089,1988,13,2,290,3.2,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.8,7,16,8,0.31,0,0.31,0.31,0.31,0.12,0.12,0.24,0.12,0.24
424,Alexander Callens,pe PER,DF,Girona,es La Liga,30-345,1992,2,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0
425,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26-029,1997,11,9,731,8.1,1,0,1,1,0,0,1,0,2.9,2.9,0.3,3.3,11,8,30,0.12,0,0.12,0.12,0.12,0.36,0.04,0.4,0.36,0.4
426,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,24-288,1998,23,18,1530,17,1,0,1,1,0,0,2,1,1.6,1.6,0.3,2,25,58,37,0.06,0,0.06,0.06,0.06,0.1,0.02,0.11,0.1,0.11
427,Mohamed Camara,gn GUI,MF,Roma,it Serie A,26-045,1997,10,5,412,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,10,20,9,0,0,0,0,0,0.07,0.07,0.13,0.07,0.13
428,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23-098,2000,22,20,1735,19.3,0,3,3,0,0,0,5,1,0.8,0.8,1.9,2.7,23,100,13,0,0.16,0.16,0,0.16,0.04,0.1,0.14,0.04,0.14
429,Ousmane Camara,gn GUI,FWMF,Auxerre,fr Ligue 1,21-162,2001,3,0,24,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,2,1,0,0,0,0,0,0.19,0.83,1.01,0.19,1.01
430,Ousmane Camara,fr FRA,DF,Angers,fr Ligue 1,20-039,2003,7,5,418,4.6,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,3,13,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
431,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,es La Liga,20-155,2002,28,15,1455,16.2,0,1,1,0,0,0,4,0,0.7,0.7,1.3,2,46,120,69,0,0.06,0.06,0,0.06,0.05,0.08,0.12,0.05,0.12
432,Nicolò Cambiaghi,it ITA,FWMF,Empoli,it Serie A,22-107,2000,19,4,624,6.9,3,1,4,3,0,0,2,0,2.2,2.2,0.4,2.6,34,27,50,0.43,0.14,0.58,0.43,0.58,0.32,0.06,0.38,0.32,0.38
433,Andrea Cambiaso,it ITA,DF,Bologna,it Serie A,23-053,2000,25,19,1620,18,0,2,2,0,0,0,2,0,0.6,0.6,1.6,2.2,52,61,70,0,0.11,0.11,0,0.11,0.03,0.09,0.12,0.03,0.12
434,Axel Camblan,fr FRA,FWMF,Brest,fr Ligue 1,19-227,2003,7,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,4,9,0,0,0,0,0,0.22,0.17,0.39,0.22,0.39
435,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22-063,2001,28,23,1945,21.6,5,4,9,5,0,0,1,0,5.7,5.7,2.2,7.9,33,31,97,0.23,0.19,0.42,0.23,0.42,0.26,0.1,0.36,0.26,0.36
436,Chem Campbell,wls WAL,FWMF,Wolves,eng Premier League,20-105,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,4,10,0,0,0,0,0,0.12,0,0.12,0.12,0.12
437,Emre Can,de GER,MF,Dortmund,de Bundesliga,29-092,1994,20,13,1270,14.1,2,1,3,1,1,1,7,0,1.2,0.5,0.4,0.8,17,55,8,0.14,0.07,0.21,0.07,0.14,0.09,0.03,0.12,0.03,0.06
438,Sergio Canales,es ESP,FWMF,Betis,es La Liga,32-057,1991,22,20,1676,18.6,4,2,6,3,1,1,4,2,3.8,3,4.4,7.4,55,104,102,0.21,0.11,0.32,0.16,0.27,0.2,0.24,0.44,0.16,0.4
439,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,21-061,2002,18,1,243,2.7,0,0,0,0,0,0,3,0,0.4,0.4,0.4,0.8,14,2,32,0,0,0,0,0,0.14,0.15,0.29,0.14,0.29
440,João Cancelo,pt POR,DF,Manchester City,eng Premier League,28-322,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,72,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12
441,João Cancelo,pt POR,DFFW,Bayern Munich,de Bundesliga,28-322,1994,8,5,459,5.1,1,2,3,1,0,0,1,0,0.4,0.4,0.7,1.2,11,21,44,0.2,0.39,0.59,0.2,0.59,0.08,0.14,0.23,0.08,0.23
442,Antonio Candreva,it ITA,DFMF,Salernitana,it Serie A,36-045,1987,28,26,2233,24.8,4,3,7,4,0,0,3,1,2.9,2.9,3.8,6.8,60,116,137,0.16,0.12,0.28,0.16,0.28,0.12,0.15,0.27,0.12,0.27
443,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20-107,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,1,0,2,0,0,0,0,0,0.32,1.95,2.27,0.32,2.27
444,Sergi Canós,es ESP,FWDF,Brentford,eng Premier League,26-071,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,2,7,0,0,0,0,0,0.09,0.03,0.11,0.09,0.11
445,Ander Capa,es ESP,DFMF,Athletic Club,es La Liga,31-065,1992,5,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,0,0,0,0,0,0,0.11,0.11,0,0.11
446,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,35-364,1987,23,14,1280,14.2,0,2,2,0,0,0,8,0,1.3,1.3,1,2.2,15,61,34,0,0.14,0.14,0,0.14,0.09,0.07,0.16,0.09,0.16
