Rk,Gls.Stan,Sh.Stan,SoT.Stan,SoT%.Stan,Sh/90.Stan,SoT/90.Stan,G/Sh.Stan,G/SoT.Stan,Dist.Stan,FK.Stan,PK.Stan,PKatt.Stan,xG,npxG,npxG/Sh,G-xG,np:G-xG
2407,0,6,2,33.3,0.95,0.32,0,0,19.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
2408,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2409,1,13,2,15.4,0.88,0.14,0.08,0.5,20.3,0,0,0,0.6,0.6,0.05,+0.4,+0.4
2410,2,13,6,46.2,0.81,0.38,0.15,0.33,20.4,4,0,0,0.8,0.8,0.06,+1.2,+1.2
2411,0,2,1,50,0.3,0.15,0,0,39.8,0,0,0,0,0,0.01,0,0
2412,0,1,0,0,5.29,0,0,,20.8,0,0,0,0,0,0.04,0,0
2413,6,75,27,36,2.75,0.99,0.07,0.19,15.3,0,1,3,9.6,7.3,0.1,-3.6,-2.3
2414,0,15,7,46.7,2.51,1.17,0,0,19.5,1,0,0,0.7,0.7,0.05,-0.7,-0.7
2415,1,22,7,31.8,0.89,0.28,0.05,0.14,11,0,0,0,2.9,2.9,0.13,-1.9,-1.9
2416,1,9,5,55.6,2.52,1.4,0.11,0.2,17.4,0,0,0,1.3,1.3,0.15,-0.3,-0.3
2417,1,5,2,40,1.55,0.62,0.2,0.5,17.7,0,0,0,0.4,0.4,0.09,+0.6,+0.6
2418,0,2,1,50,0.11,0.06,0,0,8.8,0,0,0,0.3,0.3,0.16,-0.3,-0.3
2419,0,1,0,0,0.09,0,0,,28,0,0,0,0,0,0.03,0,0
2420,0,1,0,0,0.25,0,0,,20.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
2421,0,10,3,30,2.41,0.72,0,0,15.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
2422,0,7,0,0,0.78,0,0,,9.8,0,0,0,1.3,1.3,0.19,-1.3,-1.3
2423,0,8,3,37.5,0.34,0.13,0,0,22.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4
2424,4,23,8,34.8,0.97,0.34,0.17,0.5,24.5,0,0,0,1.5,1.5,0.06,+2.5,+2.5
2425,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2426,0,5,1,20,0.66,0.13,0,0,15.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2427,0,1,0,0,12.86,0,0,,8.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
2428,0,3,1,33.3,0.47,0.16,0,0,14,0,0,0,0.4,0.4,0.12,-0.4,-0.4
2429,2,23,4,17.4,0.79,0.14,0.09,0.5,19.9,0,0,0,1.7,1.7,0.07,+0.3,+0.3
2430,1,9,6,66.7,0.58,0.39,0.11,0.17,18.8,0,0,0,0.9,0.9,0.1,+0.1,+0.1
2431,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2432,0,1,0,0,0.3,0,0,,16,0,0,0,0.1,0.1,0.09,-0.1,-0.1
2433,1,31,9,29,1.65,0.48,0.03,0.11,22.2,3,0,0,2,2,0.06,-1,-1
2434,0,12,1,8.3,1.13,0.09,0,0,29.4,0,0,0,0.3,0.3,0.02,-0.3,-0.3
2435,3,14,6,42.9,0.95,0.41,0.21,0.5,11.5,0,0,0,2.1,2.1,0.15,+0.9,+0.9
2436,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2437,0,1,0,0,1.48,0,0,,24.5,0,0,0,0,0,0.04,0,0
2438,0,2,0,0,2.07,0,0,,13.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3
2439,0,2,1,50,0.12,0.06,0,0,13.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2440,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2441,0,3,1,33.3,1.27,0.42,0,0,20.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3
2442,0,2,0,0,0.55,0,0,,17.5,0,0,0,0,0,0.02,0,0
2443,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2444,0,2,1,50,0.18,0.09,0,0,5.2,0,0,0,0.4,0.4,0.2,-0.4,-0.4
2445,4,28,11,39.3,1.79,0.7,0.14,0.36,12.4,0,0,0,4.5,4.5,0.17,-0.5,-0.5
2446,1,6,3,50,0.89,0.44,0.17,0.33,22.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7
2447,5,38,15,39.5,2.39,0.94,0.13,0.33,21.8,2,0,0,3.4,3.4,0.09,+1.6,+1.6
2448,3,37,7,18.9,1.59,0.3,0.03,0.14,24.8,6,2,2,3.4,1.8,0.05,-0.4,-0.8
2449,0,9,1,11.1,0.59,0.07,0,0,24.9,1,0,0,0.2,0.2,0.03,-0.2,-0.2
2450,0,7,1,14.3,0.45,0.06,0,0,13,0,0,0,0.6,0.6,0.08,-0.6,-0.6
2451,2,30,9,30,2.09,0.63,0.07,0.22,12.8,0,0,0,3.8,3.8,0.13,-1.8,-1.8
