,Tota,Tota,Tota,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,,,,,,,,,
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
414,193,234,82.5,3202,1087,91,100,91,81,93,87.1,15,27,55.6,0,0,0.1,0,1,14,0,0,12,Matches
415,311,452,68.8,6204,2385,121,141,85.8,136,191,71.2,47,96,49,1,0.7,1,+0.3,5,29,3,0,34,Matches
416,287,353,81.3,5485,1893,119,128,93,130,155,83.9,35,61,57.4,0,0.1,0.2,-0.1,3,20,3,1,31,Matches
417,1260,1627,77.4,23631,8890,516,594,86.9,553,675,81.9,164,278,59,3,4,3.6,-1,28,125,31,18,174,Matches
418,44,84,52.4,792,312,17,31,54.8,23,29,79.3,3,21,14.3,0,0.1,0.4,-0.1,2,2,5,2,6,Matches
419,214,251,85.3,3284,758,114,127,89.8,87,101,86.1,8,12,66.7,0,0,0.2,0,1,21,2,0,19,Matches
420,51,75,68,576,94,36,47,76.6,10,17,58.8,0,1,0,2,1.1,0.4,+0.9,6,1,3,0,4,Matches
421,3,8,37.5,52,23,2,3,66.7,1,4,25,0,0,,0,0.1,0.1,-0.1,1,0,1,0,3,Matches
422,225,275,81.8,3117,843,144,164,87.8,59,75,78.7,12,17,70.6,1,0.3,0.4,+0.7,4,19,2,0,22,Matches
423,269,455,59.1,9691,8167,28,28,100,113,117,96.6,127,308,41.2,0,0,0,0,0,7,0,0,0,Matches
424,66,96,68.8,1141,304,31,37,83.8,25,40,62.5,7,9,77.8,0,0,0.1,0,2,4,1,0,13,Matches
425,216,295,73.2,5017,1832,47,57,82.5,120,142,84.5,47,89,52.8,0,0.5,0,-0.5,2,8,0,0,8,Matches
426,958,1271,75.4,16848,6799,435,495,87.9,401,512,78.3,104,198,52.5,2,1.8,2.1,+0.2,19,96,24,13,113,Matches
427,12,21,57.1,204,119,5,9,55.6,7,9,77.8,0,3,0,0,0,0,0,0,1,0,0,1,Matches
428,64,82,78,989,270,36,40,90,20,24,83.3,6,11,54.5,1,0.9,0.6,+0.1,1,1,2,1,3,Matches
429,951,1167,81.5,18979,7330,350,390,89.7,441,512,86.1,148,237,62.4,0,0.1,0.2,-0.1,3,52,1,0,63,Matches
430,41,45,91.1,665,144,25,26,96.2,12,15,80,4,4,100,0,0.1,0.1,-0.1,1,0,3,1,2,Matches
431,528,633,83.4,9557,3859,226,237,95.4,248,278,89.2,47,103,45.6,0,0.1,0.2,-0.1,2,36,0,0,24,Matches
432,1668,1820,91.6,32452,10224,573,603,95,878,913,96.2,195,269,72.5,0,0.6,0.8,-0.6,3,95,6,0,83,Matches
433,1480,1823,81.2,27656,7793,649,713,91,577,668,86.4,218,356,61.2,12,8.7,7.7,+3.3,88,183,53,16,184,Matches
434,629,931,67.6,10766,4627,324,387,83.7,222,308,72.1,67,158,42.4,2,2.4,2.2,-0.4,23,56,17,2,77,Matches
435,484,618,78.3,7873,1923,257,293,87.7,173,215,80.5,42,77,54.5,2,2.4,3,-0.4,21,34,24,6,71,Matches
436,2,2,100,27,9,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
437,167,280,59.6,1807,408,111,169,65.7,31,51,60.8,3,4,75,2,1.6,1.2,+0.4,10,10,4,0,17,Matches
438,1233,1502,82.1,18281,5379,682,781,87.3,426,494,86.2,65,112,58,0,1.3,1.3,-1.3,30,114,11,3,132,Matches
439,9,13,69.2,153,6,1,2,50,5,7,71.4,1,1,100,0,0,0,0,0,0,0,0,0,Matches
440,41,50,82,701,185,15,18,83.3,26,28,92.9,0,1,0,0,0,0.1,0,0,3,1,0,5,Matches
441,760,847,89.7,13399,3459,339,364,93.1,322,345,93.3,78,95,82.1,1,1,1.4,0,14,75,7,1,79,Matches
442,67,74,90.5,1373,236,25,30,83.3,27,28,96.4,13,13,100,0,0,0,0,1,6,0,0,8,Matches
443,690,890,77.5,10185,3061,391,443,88.3,249,312,79.8,29,62,46.8,4,1.4,1.7,+2.6,16,36,15,5,53,Matches
444,715,880,81.3,11816,4424,365,395,92.4,248,291,85.2,74,141,52.5,2,1.1,1.3,+0.9,24,79,16,1,133,Matches
445,9,10,90,90,14,8,9,88.9,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
446,1223,1436,85.2,22156,7240,507,554,91.5,575,637,90.3,118,193,61.1,1,0.8,1.4,+0.2,6,82,7,0,119,Matches
447,1551,1878,82.6,25591,6640,771,867,88.9,554,633,87.5,154,250,61.6,8,5.6,5.9,+2.4,65,145,56,5,238,Matches
448,46,70,65.7,645,187,30,37,81.1,8,14,57.1,6,10,60,0,0.2,0.1,-0.2,4,2,2,0,4,Matches
449,2809,3365,83.5,44538,12620,1610,1732,93,938,1130,83,208,346,60.1,7,5.4,6.6,+1.6,39,308,96,12,357,Matches
450,348,488,71.3,5944,2533,168,197,85.3,146,190,76.8,34,82,41.5,2,1.5,1.5,+0.5,12,16,4,3,20,Matches
451,1296,1948,66.5,23792,8485,617,730,84.5,397,600,66.2,221,444,49.8,10,7.2,8.3,+2.8,78,138,76,31,201,Matches
452,449,774,58,7092,2936,253,316,80.1,140,235,59.6,38,134,28.4,2,1.7,2.3,+0.3,17,47,24,9,59,Matches
453,89,131,67.9,1347,374,52,65,80,29,42,69,5,9,55.6,1,0.4,0.6,+0.6,3,8,6,2,14,Matches
454,130,157,82.8,1766,386,84,93,90.3,35,43,81.4,5,10,50,0,0.1,0.4,-0.1,2,13,2,0,10,Matches
455,1,2,50,19,19,0,1,0,1,1,100,0,0,,0,0,0,0,0,1,0,0,1,Matches
456,456,563,81,7826,2216,206,239,86.2,192,216,88.9,44,66,66.7,1,1.9,0.6,-0.9,14,38,3,1,50,Matches
