,SCA,SCA,SCA,SCA,SCA,SCA,SCA,SCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA
Rk,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,33,1.12,22,3,3,3,2,0,1,0.03,1,0,0,0,0,0
85,30,3.96,24,4,1,0,1,0,1,0.13,1,0,0,0,0,0
86,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0
87,45,1.77,39,4,1,0,0,1,6,0.24,5,1,0,0,0,0
88,18,1.72,16,0,1,0,1,0,0,0,0,0,0,0,0,0
89,33,1.02,30,1,0,1,0,1,4,0.12,3,0,0,1,0,0
90,115,3.59,87,3,10,5,9,1,19,0.59,13,0,4,2,0,0
91,20,1.43,16,0,0,1,2,1,4,0.29,3,0,0,0,1,0
92,4,2.05,3,0,1,0,0,0,0,0,0,0,0,0,0,0
93,7,0.6,6,0,0,1,0,0,1,0.09,1,0,0,0,0,0
94,56,1.83,46,2,2,3,1,2,5,0.16,4,0,0,1,0,0
95,10,2.55,8,1,0,0,1,0,0,0,0,0,0,0,0,0
96,38,1.88,27,0,2,5,3,1,6,0.3,3,0,0,3,0,0
97,20,1.66,14,1,3,1,1,0,2,0.17,1,0,0,1,0,0
98,83,3.25,53,22,3,4,1,0,8,0.31,5,3,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,29,3.79,22,3,2,2,0,0,6,0.78,5,0,0,1,0,0
101,14,1.58,12,0,1,1,0,0,0,0,0,0,0,0,0,0
102,37,1.28,31,0,1,2,2,1,2,0.07,2,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,97,2.94,65,1,11,11,9,0,17,0.51,10,0,1,4,2,0
105,26,2.25,15,1,1,3,6,0,2,0.17,1,0,0,0,1,0
