,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Expe,Expe,Expe,Expe,Expe
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1991,1,2,1,50,0.47,0.24,0.5,1,8.3,0,0,0,0.2,0.2,0.12,+0.8,+0.8
1992,1,15,6,40,0.99,0.4,0.07,0.17,14.5,0,0,0,2.6,2.6,0.17,-1.6,-1.6
1993,3,21,4,19,1.03,0.2,0.14,0.75,23.4,0,0,0,1.4,1.4,0.07,+1.6,+1.6
1994,5,65,19,29.2,2.48,0.72,0.08,0.26,13.6,0,0,0,8.2,8.2,0.13,-3.2,-3.2
1995,0,2,1,50,4.62,2.31,0,0,22.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
1996,0,1,0,0,3.21,0,0,,12.1,0,0,0,0,0,0.05,0,0
1997,0,16,5,31.3,1.38,0.43,0,0,18,0,0,0,0.8,0.8,0.05,-0.8,-0.8
1998,2,21,8,38.1,0.72,0.27,0.1,0.25,12,0,0,0,2.8,2.8,0.15,-0.8,-0.8
1999,3,10,5,50,6.77,3.38,0.3,0.6,14.9,0,0,0,1.5,1.5,0.15,+1.5,+1.5
2000,6,51,16,31.4,2.57,0.81,0.08,0.25,18.8,5,2,2,6.4,4.8,0.09,-0.4,-0.8
2001,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2002,0,1,1,100,12.86,12.86,0,0,9,0,0,0,0.3,0.3,0.25,-0.3,-0.3
2003,14,91,29,31.9,4.13,1.32,0.15,0.48,14.2,0,0,0,10.5,10.5,0.12,+3.5,+3.5
2004,0,4,0,0,1.4,0,0,,12.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
2005,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2006,0,4,1,25,0.6,0.15,0,0,23.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
2007,0,2,0,0,5.81,0,0,,16,0,0,0,0,0,0.01,0,0
2008,0,12,3,25,0.94,0.24,0,0,30.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4
2009,0,4,0,0,0.99,0,0,,19.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
2010,1,24,8,33.3,2.66,0.89,0.04,0.13,17.5,0,0,0,2.1,2.1,0.09,-1.1,-1.1
2011,4,57,16,28.1,2.95,0.83,0.07,0.25,21.6,2,0,0,3,3,0.05,+1.0,+1.0
2012,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2013,2,26,4,15.4,1.43,0.22,0.08,0.5,23.3,0,0,0,2,2,0.08,0,0
2014,0,13,2,15.4,3.59,0.55,0,0,18.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7
2015,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
